Joueur,Distance (px),Temps gauche,Temps droite,Frames
31,-1.2385095319015536,47,0,47
14,0.2526801897942595,440,0,440
1,-0.13498081137066,336,0,336
6,0.2878122660910884,440,0,440
19,0.0961278425674849,439,0,439
7,2.6355569810112183,440,0,440
15,0.0992118347853965,414,26,440
13,1.012264293692487,338,102,440
26,-1.296596684294591,62,0,62
2,0.4278318715311198,440,0,440
3,0.7308897459758024,440,0,440
32,-1.0833879027140163,46,0,46
5,0.2703575060123923,440,0,440
24,-0.2104909301081884,432,0,432
34,-1.3117622955105073,31,0,31
21,0.835650100182184,439,0,439
40,-1.3101090213318332,24,0,24
23,0.5352628994107447,382,54,436
9,1.0685074095016185,440,0,440
12,1.5858550524898551,440,0,440
17,0.0112067785051949,386,54,440
38,-1.3543976930797814,65,0,65
22,-0.7159795102378572,438,0,438
8,0.7277421662894801,354,0,354
